,Crêtelongue,Davos,Ermensee,Hasle,Lamone,Maienfeld,Massongex,Oberwichtrach,Poschiavo,Schaffhausen,Sennwald,Visp,Vétroz,Zürich,Wila,Oberglatt,Worben,Utzenstorf,Marthalen
1995-01-01,483.259,1667.923,463.182,638.533,,563.943,455.964,548.265,,383.036,418.95,665.64,483.259,412.481,524.498,0.593,,,0.227
1995-01-02,483.333,1667.92,463.202,638.456,,564.152,456.208,548.223,,383.031,419.211,665.646,483.333,412.402,524.343,0.56,,,0.19999999999999998
1995-01-03,483.498,1667.917,463.206,638.413,,564.433,456.569,548.192,,383.041,419.295,665.616,483.498,412.355,524.249,0.543,,,0.18400000000000002
1995-01-04,483.529,1667.914,463.206,638.377,,564.471,456.689,548.12,,383.048,419.356,665.575,483.529,412.325,524.18,0.52,,,0.1698
1995-01-05,483.528,1667.911,463.203,638.354,,564.546,456.789,548.069,,383.039,419.449,665.61,483.528,412.308,524.117,0.504,,,0.15975
1995-01-06,483.515,1667.909,463.199,638.332,,564.505,456.713,548.04,,383.025,419.294,665.61,483.515,412.288,524.069,0.487,,,0.14925
1995-01-07,483.373,1667.907,463.185,638.314,,564.136,456.4,548.03,,383.004,419.176,665.618,483.373,412.301,524.054,0.467,,,0.14175
1995-01-08,483.221,1667.904,463.174,638.307,,564.006,456.104,547.972,,382.993,418.986,665.601,483.221,412.295,524.043,0.447,,,0.13740000000000002
1995-01-09,483.483,1667.903,463.162,638.306,,564.487,456.599,547.964,,382.975,419.268,665.675,483.483,412.284,524.023,0.432,,,0.1335
1995-01-10,483.573,1667.9,463.162,638.324,,564.547,456.749,547.954,,382.943,419.381,665.625,483.573,412.311,524.052,0.499,,,0.1628421052631579
1995-01-11,483.737,1667.898,463.327,638.582,,564.505,456.935,547.952,,382.959,419.487,665.606,483.737,412.54,524.282,0.744,,,0.2742631578947369
1995-01-12,483.632,1667.895,463.412,638.463,,564.547,456.844,548.02,,382.973,419.445,665.626,483.632,412.427,524.186,0.565,,,0.224
1995-01-13,483.643,1667.893,463.422,638.404,,564.54,456.861,548.022,,382.989,419.469,665.619,483.643,412.339,524.112,0.535,,,0.19514285714285715
1995-01-14,483.415,1667.891,463.413,638.353,,564.029,456.584,548.021,,382.989,419.184,665.608,483.415,412.288,524.06,0.511,,,0.1777142857142857
1995-01-15,483.273,1667.888,463.396,638.332,,563.975,456.242,548.016,,382.982,418.948,665.582,483.273,412.292,524.053,0.493,,,0.165
1995-01-16,483.517,1667.886,463.381,638.325,,564.465,456.688,548.011,,382.966,419.209,665.61,483.517,412.286,524.028,0.478,,,0.1564
1995-01-17,483.595,1667.883,463.36,638.319,,564.498,456.799,548.006,,382.95,419.399,665.603,483.595,412.27,524.014,0.461,,,0.14933333333333332
1995-01-18,483.584,1667.881,463.343,638.31,,564.525,456.801,548.011,,382.94,419.402,665.596,483.584,412.269,524.011,0.44,,,0.14366666666666664
1995-01-19,483.594,1667.882,463.333,638.314,,564.468,456.792,548.017,,382.936,419.371,665.597,483.594,412.297,524.013,0.455,,,0.14085714285714285
1995-01-20,483.594,1667.881,463.324,638.306,,564.454,456.778,547.989,,382.933,419.315,665.622,483.594,412.278,523.998,0.425,,,0.1376666666666667
1995-01-21,483.392,1667.879,463.317,638.305,,564.018,456.371,547.926,,382.926,419.079,665.584,483.392,412.289,523.999,0.426,,,0.13685714285714287
1995-01-22,483.185,1667.875,463.319,638.507,,563.899,456.09,547.928,,382.946,418.899,665.571,483.185,412.305,524.262,0.474,,,0.2766538461538462
1995-01-23,483.566,1667.873,463.369,639.0,,564.418,456.63,547.946,,382.943,419.174,665.622,483.566,412.617,524.811,0.516,,,0.31942105263157894
1995-01-24,483.701,1667.872,463.452,638.846,,564.574,456.869,548.107,,382.983,419.519,665.596,483.701,412.71,524.758,0.608,,,0.2668333333333333
1995-01-25,483.697,1667.87,463.502,639.007,,564.583,456.823,548.245,,383.089,419.595,665.601,483.697,412.668,524.815,0.909,,,0.45308333333333334
1995-01-26,483.737,1667.87,463.549,638.973,,564.437,456.831,548.546,,383.162,419.69,665.613,483.737,412.726,524.83,0.68,,,0.4002307692307693
1995-01-27,483.702,1667.868,463.574,638.694,,564.465,456.822,548.648,,383.206,419.526,665.599,483.702,412.528,524.605,0.636,,,0.35728571428571426
1995-01-28,483.457,1667.866,463.571,638.608,,564.065,456.35,548.612,,383.231,419.258,665.572,483.457,412.429,524.462,0.623,,,0.33294999999999997
1995-01-29,483.306,1667.864,463.562,638.618,,563.875,456.153,548.552,,383.245,419.024,665.589,483.306,412.424,524.446,0.599,,,0.3359473684210526
1995-01-30,483.569,1667.863,463.557,638.719,,564.379,456.669,548.504,,383.249,419.236,665.606,483.569,412.537,524.664,0.692,,,0.3083846153846154
1995-01-31,483.671,1667.861,463.556,638.678,,564.44,456.846,548.528,,383.26,419.46,665.593,483.671,412.565,524.646,0.653,,,0.27949999999999997
1995-02-01,483.633,1667.861,463.543,638.56,,564.426,456.782,548.476,,383.269,419.38,665.577,483.633,412.423,524.45,0.624,,,0.262625
1995-02-02,483.602,1667.861,463.524,638.508,,564.403,456.743,548.445,,383.263,419.355,665.577,483.602,412.374,524.341,0.605,,,0.2434285714285714
1995-02-03,483.602,1667.861,463.505,638.476,,564.311,456.717,548.373,,383.253,419.335,665.584,483.602,412.344,524.286,0.589,,,0.21880000000000002
1995-02-04,483.38,1667.861,463.482,638.456,,563.949,456.261,548.315,,383.237,419.14,665.558,483.38,412.334,524.239,0.574,,,0.20466666666666666
1995-02-05,483.251,1667.861,463.46,638.476,,563.952,456.066,548.288,,383.22,419.081,665.573,483.251,412.346,524.242,0.552,,,0.1936
1995-02-06,483.511,1667.858,463.434,638.468,,564.337,456.529,548.215,,383.2,419.134,665.586,483.511,412.352,524.24,0.534,,,0.1856
1995-02-07,483.583,1667.861,463.412,638.463,,564.391,456.642,548.178,,383.181,419.29,665.582,483.583,412.356,524.252,0.521,,,0.17825
1995-02-08,483.582,1667.861,463.389,638.48,,564.329,456.64,548.113,,383.169,419.348,665.579,483.582,412.371,524.289,0.508,,,0.1741111111111111
1995-02-09,483.614,1667.86,463.37,638.546,,564.243,456.75,548.107,,383.173,419.333,665.584,483.614,412.451,524.444,0.532,,,0.19328571428571428
1995-02-10,483.617,1667.858,463.35,638.493,,564.333,456.731,548.111,,383.188,419.267,665.578,483.617,412.448,524.37,0.493,,,0.176
1995-02-11,483.414,1667.854,463.332,638.478,,564.016,456.243,548.092,,383.185,419.127,665.562,483.414,412.371,524.27,0.492,,,0.17157142857142857
1995-02-12,483.227,1667.85,463.311,638.455,,563.927,456.029,548.048,,383.177,418.921,665.563,483.227,412.357,524.25,0.468,,,0.1632
1995-02-13,483.52,1667.851,463.291,638.448,,564.371,456.571,548.015,,383.168,419.233,665.581,483.52,412.354,524.212,0.451,,,0.16166666666666668
1995-02-14,483.613,1667.852,463.274,638.532,,564.396,456.737,548.019,,383.149,419.336,665.582,483.613,412.37,524.217,0.451,,,0.1682142857142857
1995-02-15,483.597,1667.851,463.258,638.482,,564.541,456.748,548.019,,383.148,419.452,665.575,483.597,412.35,524.171,0.444,,,0.1904705882352941
1995-02-16,483.68,1667.848,463.256,638.825,,564.498,456.809,548.09,,383.143,419.452,665.594,483.68,412.506,524.418,0.529,,,0.20951851851851852
1995-02-17,483.655,1667.847,463.259,638.625,,564.489,456.789,548.209,,383.148,419.489,665.598,483.655,412.43,524.351,0.497,,,0.22776470588235292
1995-02-18,483.438,1667.846,463.307,638.614,,564.183,456.426,548.27,,383.197,419.347,665.577,483.438,412.504,524.437,0.678,,,0.3154285714285714
1995-02-19,483.316,1667.846,463.353,638.529,,564.006,456.187,548.274,,383.211,419.12,665.564,483.316,412.42,524.347,0.581,,,0.275
1995-02-20,483.531,1667.847,463.364,638.524,,564.353,456.65,548.267,,383.209,419.259,665.578,483.531,412.387,524.343,0.551,,,0.24611111111111109
1995-02-21,483.594,1667.842,463.373,638.589,,564.406,456.759,548.218,,383.203,419.337,665.595,483.594,412.403,524.427,0.538,,,0.2270625
1995-02-22,483.606,1667.841,463.377,638.653,,564.467,456.776,548.219,,383.198,419.366,665.595,483.606,412.515,524.512,0.536,,,0.213375
1995-02-23,483.619,1667.842,463.374,638.551,,564.6,456.81,548.22,,383.19,419.507,665.624,483.619,412.427,524.389,0.538,,,0.19866666666666669
1995-02-24,483.642,1667.839,463.381,638.584,,564.557,456.865,548.251,,383.202,419.513,665.594,483.642,412.393,524.399,0.576,,,0.24917647058823528
1995-02-25,483.464,1667.843,463.42,638.796,,564.195,456.457,548.331,,383.206,419.28,665.567,483.464,412.611,524.7,0.67,,,0.28987999999999997
1995-02-26,483.353,1667.84,463.48,638.719,,564.118,456.24,548.349,,383.233,419.214,665.565,483.353,412.612,524.662,0.642,,,0.3223
1995-02-27,483.556,1667.837,463.496,638.585,,564.422,456.691,548.356,,383.231,419.376,665.563,483.556,412.446,524.495,0.616,,,0.2824285714285714
1995-02-28,483.585,1667.836,463.489,638.535,,564.482,456.792,548.239,,383.228,419.391,665.568,483.585,412.388,524.373,0.601,,,0.25236363636363635
1995-03-01,483.602,1667.836,463.473,638.513,,564.512,456.823,548.215,,383.221,419.406,665.559,483.602,412.367,524.309,0.585,,,0.23444444444444443
1995-03-02,483.61,1667.835,463.455,638.494,,564.498,456.796,548.163,,383.204,419.504,665.559,483.61,412.357,524.26,0.568,,,0.217
1995-03-03,483.6,1667.835,463.434,638.474,,564.532,456.808,548.123,,383.204,419.487,665.573,483.6,412.348,524.231,0.571,,,0.21509999999999999
1995-03-04,483.363,1667.835,463.424,638.452,,564.151,456.472,548.125,,383.2,419.242,665.54,483.363,412.329,524.189,0.565,,,0.2028
1995-03-05,483.271,1667.833,463.407,638.428,,563.976,456.225,548.032,,383.187,419.041,665.536,483.271,412.3,524.137,0.547,,,0.19985714285714287
1995-03-06,483.522,1667.832,463.394,638.429,,564.439,456.7,547.895,,383.156,419.267,665.572,483.522,412.309,524.13,0.565,,,0.20732142857142857
1995-03-07,483.624,1667.831,463.391,638.414,,564.561,456.852,547.792,,383.147,419.504,665.575,483.624,412.295,524.1,0.542,,,0.212
1995-03-08,483.669,1667.831,463.379,638.402,,564.54,456.89,547.641,,383.141,419.482,665.628,483.669,412.286,524.072,0.529,,,0.2092
1995-03-09,483.555,1667.831,463.364,638.397,,564.584,456.803,547.484,,383.131,419.49,665.557,483.555,412.282,524.054,0.517,,,0.20233333333333334
1995-03-10,483.572,1667.831,463.351,638.385,,564.553,456.72,547.501,,383.125,419.423,665.549,483.572,412.279,524.035,0.503,,,0.192
1995-03-11,483.374,1667.831,463.337,638.405,,564.081,456.195,547.54,,383.113,419.164,665.542,483.374,412.288,524.047,0.486,,,0.181
1995-03-12,483.26,1667.831,463.323,638.46,,563.92,456.011,547.55,,383.096,418.929,665.56,483.26,412.291,524.116,0.464,,,0.1762
1995-03-13,483.482,1667.831,463.306,638.474,,564.332,456.499,547.564,,383.079,419.231,665.6,483.482,412.341,524.184,0.447,,,0.1706
1995-03-14,483.566,1667.831,463.288,638.444,,564.415,456.689,547.576,,383.056,419.401,665.585,483.566,412.313,524.123,0.429,,,0.16516666666666668
1995-03-15,483.581,1667.831,463.27,638.421,,564.442,456.723,547.635,,383.034,419.491,665.571,483.581,412.295,524.091,0.418,,,0.16290909090909092
1995-03-16,483.574,1667.831,463.256,638.408,,564.478,456.72,547.722,,383.025,419.437,665.567,483.574,412.297,524.087,0.414,,,0.162
1995-03-17,483.543,1667.831,463.238,638.389,,564.318,456.663,547.726,,383.025,419.35,665.567,483.543,412.281,524.051,0.396,,,0.1602222222222222
1995-03-18,483.393,1667.831,463.249,638.778,,564.032,456.139,547.804,,383.015,419.112,665.549,483.393,412.634,524.501,0.537,,,0.204030303030303
1995-03-19,483.316,1667.83,463.276,638.766,,563.917,456.004,548.157,,383.021,419.054,665.57,483.316,412.709,524.631,0.523,,,0.24660714285714286
1995-03-20,483.531,1667.825,463.312,638.692,,564.312,456.572,548.536,,383.099,419.382,665.607,483.531,412.607,524.556,0.64,,,0.33616666666666667
1995-03-21,483.563,1667.823,463.335,638.554,,564.295,456.735,548.569,,383.113,419.413,665.589,483.563,412.436,524.389,0.575,,,0.28825
1995-03-22,483.586,1667.824,463.343,638.506,,564.271,456.639,548.535,,383.128,419.327,665.586,483.586,412.384,524.31,0.572,,,0.262
1995-03-23,483.575,1667.826,463.351,638.496,,564.307,456.617,548.383,,383.13,419.271,665.554,483.575,412.367,524.297,0.569,,,0.23500000000000001
1995-03-24,483.527,1667.825,463.353,638.514,,564.19,456.552,548.177,,383.124,419.23,665.587,483.527,412.382,524.38,0.563,,,0.219875
1995-03-25,483.36,1667.825,463.345,638.539,,564.011,456.134,548.114,,383.099,419.154,665.591,483.36,412.457,524.483,0.538,,,0.2043
1995-03-26,483.321,1667.824,463.328,638.545,,563.98,456.023,548.122,,383.086,419.06,665.625,483.321,412.52,524.418,0.511,,,0.19299999999999998
1995-03-27,483.524,1667.824,463.318,638.575,,564.352,456.531,548.131,,383.098,419.31,665.64,483.524,412.513,524.462,0.586,,,0.27884
1995-03-28,483.565,1667.824,463.315,638.533,,564.4,456.657,548.143,,383.121,419.472,665.618,483.565,412.479,524.42,0.536,,,0.2625
1995-03-29,483.549,1667.823,463.325,638.515,,564.404,456.657,548.142,,383.118,419.422,665.639,483.549,412.433,524.349,0.577,,,0.28184615384615386
1995-03-30,483.57,1667.823,463.336,638.468,,564.346,456.691,548.145,,383.149,419.364,665.671,483.57,412.391,524.262,0.531,,,0.246
1995-03-31,483.478,1667.822,463.332,638.438,,564.468,456.663,548.144,,383.151,419.37,665.579,483.478,412.353,524.197,0.516,,,0.22775
1995-04-01,483.271,1667.832,463.343,638.497,,564.212,456.153,548.175,,383.147,419.252,665.558,483.271,412.403,524.315,0.591,,,0.24907142857142858
1995-04-02,483.289,1667.841,463.367,638.659,,563.931,455.983,548.227,,383.163,419.213,665.588,483.289,412.596,524.658,0.558,,,0.22616666666666665
1995-04-03,483.457,1667.85,463.367,638.634,,564.476,456.259,548.347,,383.193,419.572,665.642,483.457,412.583,524.572,0.54,,,0.21525
1995-04-04,483.551,1667.868,463.356,638.633,,564.517,456.416,548.471,,383.214,419.811,665.667,483.551,412.543,524.447,0.528,,,0.2024
1995-04-05,483.641,1667.897,463.341,638.635,,564.56,456.561,548.538,,383.238,419.922,665.719,483.641,412.525,524.35,0.516,,,0.19499999999999998
1995-04-06,483.717,1667.921,463.324,638.628,,564.572,456.563,548.688,,383.258,420.083,665.774,483.717,412.511,524.283,0.504,,,0.18818181818181817
1995-04-07,483.796,1667.917,463.307,638.599,,564.609,456.626,548.745,,383.279,420.052,665.813,483.796,412.472,524.206,0.489,,,0.1805
1995-04-08,483.757,1667.942,463.289,638.58,,564.518,456.56,548.795,,383.291,420.025,665.852,483.757,412.466,524.154,0.471,,,0.17512499999999998
1995-04-09,483.707,1667.912,463.267,638.505,,564.316,456.5,548.778,,383.315,419.679,665.816,483.707,412.388,524.097,0.447,,,0.16944444444444445
1995-04-10,483.766,1667.9,463.249,638.458,,564.676,456.687,548.668,,383.321,419.867,665.805,483.766,412.342,524.061,0.43,,,0.16616666666666668
1995-04-11,483.743,1667.889,463.23,638.433,,564.69,456.689,548.628,,383.315,419.827,665.796,483.743,412.316,524.03,0.414,,,0.16055555555555556
1995-04-12,483.734,1667.882,463.211,638.44,,564.632,456.66,548.593,,383.31,419.785,665.791,483.734,412.309,524.008,0.406,,,0.1565
1995-04-13,483.766,1667.878,463.194,638.462,,564.562,456.704,548.607,,383.306,419.727,665.827,483.766,412.347,524.025,0.405,,,0.15266666666666664
1995-04-14,483.646,1667.875,463.176,638.405,,564.284,456.554,548.576,,383.295,419.502,665.796,483.646,412.323,523.992,0.378,,,0.14966666666666664
1995-04-15,483.593,1667.875,463.16,638.385,,564.289,456.433,548.53,,383.281,419.384,665.789,483.593,412.292,523.976,0.369,,,0.14936363636363637
1995-04-16,483.567,1667.877,463.149,638.393,,564.107,456.325,548.443,,383.264,419.219,665.778,483.567,412.286,523.979,0.383,,,0.1597142857142857
1995-04-17,483.54,1667.875,463.134,638.382,,564.193,456.304,548.369,,383.233,419.183,665.76,483.54,412.312,523.99,0.359,,,0.15125
1995-04-18,483.663,1667.88,463.115,638.378,,564.515,456.435,548.253,,383.216,419.518,665.774,483.663,412.301,523.969,0.353,,,0.1526
1995-04-19,483.672,1667.93,463.1,638.402,,564.61,456.494,548.245,,383.213,419.64,665.821,483.672,412.299,523.959,0.363,,,0.16107692307692306
1995-04-20,483.733,1667.942,463.092,638.45,,564.744,456.543,548.318,,383.211,419.783,665.828,483.733,412.419,524.129,0.455,,,0.15646153846153846
1995-04-21,483.749,1667.956,463.083,638.402,,564.696,456.51,548.356,,383.235,419.749,665.878,483.749,412.45,524.131,0.39,,,0.14579999999999999
1995-04-22,484.135,1668.123,463.071,638.473,,564.789,456.906,548.47,,383.229,419.768,666.219,484.135,412.473,524.09,0.372,,,0.14166666666666666
1995-04-23,484.038,1668.28,463.064,638.477,,564.932,456.886,548.621,,383.242,420.171,666.12,484.038,412.422,524.032,0.353,,,0.14475
1995-04-24,484.058,1668.296,463.051,638.509,,565.057,456.871,548.845,,383.261,420.406,666.07,484.058,412.409,524.001,0.349,,,0.13916666666666666
1995-04-25,484.018,1668.266,463.041,638.519,,565.018,456.839,548.98,,383.282,420.363,666.033,484.018,412.395,524.083,0.418,,,0.20961904761904762
1995-04-26,484.066,1668.24,463.059,638.839,,565.141,456.832,549.159,,383.346,420.759,666.086,484.066,413.003,524.852,0.804,,,0.1945
1995-04-27,484.014,1668.186,463.075,638.8,,565.12,456.769,549.251,,383.436,420.549,666.017,484.014,412.648,524.592,0.726,,,0.24074999999999996
1995-04-28,483.945,1668.17,463.086,638.649,,565.061,456.683,549.223,,383.501,420.336,665.933,483.945,412.539,524.527,0.741,,,0.21288888888888888
1995-04-29,483.853,1668.224,463.085,638.585,,564.804,456.618,549.189,,383.531,420.134,665.959,483.853,412.46,524.355,0.633,,,0.18285714285714286
1995-04-30,483.853,1668.224,463.109,638.658,,564.686,456.611,549.311,,383.55,420.033,666.001,483.853,412.455,524.263,0.628,,,0.1735625
1995-05-01,483.909,1668.259,463.119,638.578,,564.699,456.654,549.275,,383.562,419.991,665.993,483.909,412.42,524.327,0.587,,,0.16377777777777777
1995-05-02,484.007,1668.329,463.116,638.556,,565.094,456.792,549.246,,383.565,420.329,666.056,484.007,412.408,524.193,0.575,,,0.15583333333333335
1995-05-03,484.113,1668.351,463.107,638.535,,565.138,456.924,549.293,,383.572,420.574,666.09,484.113,412.393,524.115,0.554,,,0.145
1995-05-04,484.248,1668.358,463.096,638.522,,565.185,457.081,549.391,,383.583,420.612,666.137,484.248,412.386,524.065,0.534,,,0.1379
1995-05-05,484.358,1668.381,463.085,638.509,,565.157,457.182,549.495,,383.594,420.627,666.24,484.358,412.376,524.022,0.51,,,0.1413529411764706
1995-05-06,484.338,1668.406,463.072,638.502,,564.999,457.192,549.558,,383.602,420.527,666.2,484.338,412.368,523.985,0.475,,,0.1438
1995-05-07,484.314,1668.431,463.056,638.507,,564.991,457.196,549.708,,383.61,420.455,666.221,484.314,412.362,523.951,0.437,,,0.130125
1995-05-08,484.472,1668.454,463.041,638.481,,565.269,457.364,549.634,,383.61,420.711,666.303,484.472,412.358,523.935,0.418,,,0.13157142857142856
1995-05-09,484.524,1668.455,463.026,638.507,,565.331,457.458,549.666,,383.633,420.952,666.366,484.524,412.357,523.94,0.43,,,0.1521578947368421
1995-05-10,484.568,1668.431,463.013,638.442,,565.302,457.5,549.805,,383.665,420.829,666.338,484.568,412.336,523.918,0.388,,,0.12633333333333333
1995-05-11,484.408,1668.405,463.002,638.414,,565.131,457.314,549.652,,383.676,420.58,666.242,484.408,412.295,523.907,0.375,,,0.12490909090909091
1995-05-12,484.354,1668.407,462.991,638.412,,565.148,457.251,549.549,,383.677,420.537,666.219,484.354,412.29,523.901,0.37,,,0.12746153846153846
1995-05-13,484.236,1668.41,463.023,638.771,,564.993,457.063,549.775,,383.694,420.558,666.113,484.236,412.637,524.325,0.902,,,0.2712777777777778
1995-05-14,484.045,1668.356,463.093,638.621,,564.794,456.84,549.726,,383.743,420.242,666.01,484.045,412.691,524.539,0.967,,,0.26192592592592595
1995-05-15,484.118,1668.313,463.115,638.55,,564.962,456.961,549.391,,383.779,420.314,666.033,484.118,412.51,524.443,0.768,,,0.21391666666666667
1995-05-16,484.11,1668.293,463.116,638.55,,564.996,456.98,549.235,,383.787,420.347,666.021,484.11,412.464,524.345,0.751,,,0.21364285714285716
1995-05-17,484.062,1668.297,463.12,638.581,,564.951,456.897,549.273,,383.777,420.3,666.002,484.062,412.414,524.201,0.771,,,0.23857692307692308
1995-05-18,484.08,1668.308,463.123,638.582,,564.974,456.893,549.299,,383.785,420.314,665.986,484.08,412.385,524.192,0.814,,,0.2711153846153846
1995-05-19,484.074,1668.31,463.136,638.729,,564.979,456.959,549.433,,383.797,420.354,666.0,484.074,412.497,524.334,0.791,,,0.26
1995-05-20,483.912,1668.275,463.138,638.513,,564.681,456.7,549.351,,383.799,420.081,665.972,483.912,412.405,524.211,0.78,,,0.22483333333333333
1995-05-21,483.869,1668.25,463.133,638.459,,564.442,456.605,549.118,,383.793,419.736,665.947,483.869,412.363,524.122,0.719,,,0.2072
1995-05-22,483.994,1668.242,463.125,638.441,,564.868,456.787,548.881,,383.773,420.02,665.967,483.994,412.328,524.071,0.677,434.155,,0.19060000000000002
1995-05-23,484.038,1668.273,463.114,638.437,,564.969,456.849,548.848,,383.753,420.16,666.018,484.038,412.326,524.035,0.661,434.152,,0.17857142857142858
1995-05-24,484.133,1668.337,463.104,638.439,,564.964,456.928,548.966,,383.74,420.358,666.084,484.133,412.318,524.002,0.627,434.149,,0.16855555555555557
1995-05-25,484.198,1668.421,463.091,638.445,,564.814,457.001,549.088,,383.728,420.269,666.18,484.198,412.314,523.98,0.624,434.147,,0.17470000000000002
1995-05-26,484.695,1668.537,463.08,638.464,,565.287,457.559,549.523,,383.718,420.683,666.506,484.695,412.315,523.971,0.672,434.173,,0.18762500000000001
1995-05-27,484.673,1668.577,463.069,638.437,,565.254,457.657,549.793,,383.735,420.823,666.395,484.673,412.313,523.97,0.553,434.202,,0.16984615384615387
1995-05-28,484.529,1668.528,463.062,638.41,,565.201,457.483,549.617,,383.751,420.616,666.341,484.529,412.296,523.938,0.464,434.173,,0.16236363636363638
1995-05-29,484.888,1668.561,463.051,638.415,,565.47,457.84,549.628,,383.752,420.896,666.698,484.888,412.29,523.928,0.494,434.167,,0.15508333333333332
1995-05-30,485.522,1668.628,463.05,638.625,,565.726,458.625,549.956,,383.773,421.313,666.97,485.522,412.347,524.117,0.732,434.354,,0.22516129032258067
1995-05-31,485.472,1668.691,463.073,638.864,,565.909,458.601,550.084,,383.863,421.625,666.81,485.472,412.668,524.675,1.467,434.649,,0.40354545454545454
1995-06-01,485.076,1668.626,463.193,639.185,,565.83,458.106,550.253,,384.011,421.792,666.558,485.076,412.976,525.059,1.943,434.471,,0.6678387096774193
1995-06-02,484.855,1668.556,463.331,638.814,,565.522,457.786,550.344,,384.134,421.518,666.453,484.855,412.839,524.794,1.415,434.42,,0.6052727272727272
1995-06-03,484.611,1668.493,463.357,638.586,,565.216,457.46,550.265,,384.185,420.837,666.31,484.611,412.495,524.524,1.169,434.327,,0.4432727272727273
1995-06-04,484.505,1668.462,463.366,638.573,,564.979,457.349,550.146,,384.191,420.455,666.295,484.505,412.454,524.43,1.171,434.292,,0.3702142857142857
1995-06-05,484.486,1668.456,463.404,638.651,,565.052,457.326,550.053,,384.189,420.378,666.357,484.486,412.52,524.545,1.277,434.268,,0.33816666666666667
1995-06-06,484.653,1668.449,463.435,638.591,,565.27,457.481,550.003,,384.192,420.712,666.425,484.653,412.487,524.538,1.195,434.252,,0.2977692307692308
1995-06-07,484.604,1668.435,463.438,638.498,,565.189,457.464,549.739,,384.228,420.742,666.376,484.604,412.412,524.476,1.116,434.241,,0.2716
1995-06-08,484.512,1668.435,463.426,638.463,,565.181,457.398,549.51,,384.246,420.625,666.287,484.512,412.356,524.363,1.095,434.232,,0.25953333333333334
1995-06-09,484.627,1668.438,463.435,638.593,,565.166,457.483,549.508,,384.256,420.615,666.384,484.627,412.465,524.58,1.218,434.233,,0.2820952380952381
1995-06-10,484.539,1668.443,463.442,638.505,,565.02,457.399,549.587,,384.257,420.465,666.289,484.539,412.43,524.467,1.077,434.227,,0.2520909090909091
1995-06-11,484.583,1668.468,463.484,638.901,,565.28,457.44,549.723,,384.275,420.852,666.38,484.583,412.772,524.868,1.301,434.226,,0.355625
1995-06-12,484.669,1668.456,463.519,638.736,,565.427,457.514,549.792,,384.312,420.933,666.454,484.669,412.584,524.635,1.234,434.227,,0.3155
1995-06-13,484.476,1668.452,463.541,638.693,,565.428,457.328,549.731,,384.328,420.921,666.237,484.476,412.577,524.637,1.27,434.229,,0.301375
1995-06-14,484.417,1668.451,463.563,638.654,,565.427,457.251,549.601,,384.343,421.024,666.256,484.417,412.565,524.575,1.204,434.224,,0.27499999999999997
1995-06-15,484.352,1668.438,463.573,638.54,,565.254,457.131,549.441,,384.371,420.783,666.267,484.352,412.443,524.447,1.118,434.217,,0.2512727272727273
1995-06-16,484.457,1668.441,463.563,638.49,,565.308,457.248,549.365,,384.367,420.68,666.303,484.457,412.431,524.316,1.06,434.213,,0.23199999999999998
1995-06-17,484.388,1668.44,463.542,638.45,,565.112,457.17,549.268,,384.356,420.547,666.306,484.388,412.371,524.223,1.006,434.21,,0.22000000000000003
1995-06-18,484.412,1668.458,463.519,638.429,,565.028,457.197,549.249,,384.331,420.374,666.362,484.412,412.333,524.163,0.957,434.208,,0.21666666666666667
1995-06-19,484.838,1668.502,463.495,638.408,,565.406,457.678,549.272,,384.313,420.678,666.66,484.838,412.311,524.109,0.92,434.205,,0.2028
1995-06-20,485.072,1668.579,463.47,638.387,,565.577,458.029,549.466,,384.294,420.96,666.738,485.072,412.305,524.059,0.863,434.204,,0.19642857142857142
1995-06-21,485.337,1668.64,463.486,638.395,,565.72,458.417,549.704,,384.294,421.201,666.808,485.337,412.573,524.475,1.061,434.216,,0.1854761904761905
1995-06-22,485.41,1668.667,463.553,638.427,,565.769,458.555,549.821,,384.309,421.28,666.905,485.41,412.415,524.365,1.034,434.224,,0.17600000000000002
1995-06-23,485.318,1668.619,463.553,638.368,,565.582,458.429,549.826,,384.321,421.158,666.631,485.318,412.365,524.248,0.98,434.21,,0.17381249999999998
1995-06-24,484.785,1668.526,463.546,638.407,,565.21,457.733,549.652,,384.315,420.691,666.282,484.785,412.384,524.222,0.939,434.208,,0.17166666666666666
1995-06-25,484.569,1668.475,463.54,638.363,,564.979,457.421,549.399,,384.296,420.272,666.204,484.569,412.375,524.146,0.866,434.205,,0.1699
1995-06-26,484.806,1668.499,463.521,638.331,,565.282,457.659,549.26,,384.265,420.45,666.544,484.806,412.322,524.078,0.819,434.201,,0.16726666666666665
1995-06-27,485.165,1668.574,463.495,638.32,,565.38,458.115,549.259,,384.24,420.665,666.821,485.165,412.316,524.051,0.786,434.197,,0.1615294117647059
1995-06-28,485.387,1668.65,463.472,638.303,,565.568,458.413,549.418,,384.212,420.863,666.924,485.387,412.31,524.025,0.742,434.194,,0.15722222222222224
1995-06-29,485.506,1668.677,463.445,638.289,,565.649,458.531,549.58,,384.194,421.004,666.955,485.506,412.309,523.997,0.7,434.19,,0.149375
1995-06-30,485.597,1668.674,463.423,638.274,,565.669,458.617,549.634,,384.179,421.072,666.943,485.597,412.308,523.974,0.667,434.187,,0.14583333333333334
